ID-T;PLAZA VINCULADA;% ÚTIL PRIV-T;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B1-TR-01;B1-PL-01;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-02;B1-PL-02;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-03;B1-PL-03;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-04;B1-PL-04;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-05;B1-PL-05;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-06;B1-PL-06;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-07;B1-PL-07;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-08;B1-PL-08;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-09;B1-PL-09;0,2002%;17,78;10,46;8,00;      12.878,78 € 
B1-TR-10;B1-PL-10;0,2013%;17,88;10,52;8,00;      12.878,78 € 
B1-TR-11;B1-PL-11;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-12;B1-PL-12;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-13;B1-PL-13;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-14;B1-PL-14;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-15;B1-PL-15;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-16;B1-PL-16;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-17;B1-PL-17;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-18;B1-PL-18;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-19;B1-PL-19;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-20;B1-PL-20;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-21;B1-PL-21;0,1598%;14,19;8,35;8,00;      12.878,78 € 
B1-TR-22;B1-PL-22;0,2057%;18,27;10,75;8,00;      12.878,78 € 
B1-TR-23;B1-PL-23;0,2073%;18,41;10,83;8,00;      12.878,78 € 
B1-TR-24;B1-PL-24;0,1596%;14,17;8,34;8,00;      12.878,78 € 
B1-TR-25;B1-PL-25;0,1330%;11,81;6,95;6,95;      11.188,44 € 
B1-TR-26;B1-PL-26;0,1336%;11,86;6,98;6,98;      11.236,74 € 
B1-TR-27;B1-PL-27;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-28;B1-PL-28;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-29;B1-PL-29;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-30;B1-PL-30;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-31;B1-PL-31;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-32;B1-PL-32;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-33;B1-PL-33;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-34;B1-PL-34;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-35;B1-PL-35;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-36;B1-PL-36;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-37;B1-PL-37;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-38;B1-PL-38;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-39;B1-PL-39;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-40;B1-PL-40;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-41;B1-PL-41;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-42;B1-PL-42;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-43;B1-PL-43;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B1-TR-44;B1-PL-44;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-45;B1-PL-45;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-46;B1-PL-46;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-47;B1-PL-47;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B1-TR-48;B1-PL-48;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-01;B2-PL-01;0,1839%;16,33;9,61;8,00;      12.878,78 € 
B2-TR-02;B2-PL-02;0,1803%;16,01;9,42;8,00;      12.878,78 € 
B2-TR-03;B2-PL-03;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-04;B2-PL-04;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-05;B2-PL-05;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-06;B2-PL-06;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-07;B2-PL-07;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-08;B2-PL-08;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-09;B2-PL-09;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-10;B2-PL-10;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-11;B2-PL-11;0,1401%;12,44;7,32;7,32;      11.784,09 € 
B2-TR-12;B2-PL-12;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-13;B2-PL-13;0,1912%;16,98;9,99;8,00;      12.878,78 € 
B2-TR-14;B2-PL-14;0,2013%;17,88;10,52;8,00;      12.878,78 € 
B2-TR-15;B2-PL-15;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-16;B2-PL-16;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-17;B2-PL-17;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-18;B2-PL-18;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-19;B2-PL-19;0,1336%;11,86;6,98;6,98;      11.236,74 € 
B2-TR-20;B2-PL-20;0,1332%;11,83;6,96;6,96;      11.204,54 € 
B2-TR-21;B2-PL-21;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-22;B2-PL-22;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-23;B2-PL-23;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-24;B2-PL-24;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-25;B2-PL-25;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-26;B2-PL-26;0,1868%;16,59;9,76;8,00;      12.878,78 € 
B2-TR-27;B2-PL-27;0,1868%;16,59;9,76;8,00;      12.878,78 € 
B2-TR-28;B2-PL-28;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-29;B2-PL-29;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-30;B2-PL-30;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-31;B2-PL-31;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-32;B2-PL-32;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-33;B2-PL-33;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-34;B2-PL-34;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-35;B2-PL-35;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-36;B2-PL-36;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-37;B2-PL-37;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-38;B2-PL-38;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-39;B2-PL-39;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-40;B2-PL-40;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-41;B2-PL-41;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-42;B2-PL-42;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-43;B2-PL-43;0,1244%;11,05;6,50;6,50;      10.464,01 € 
B2-TR-44;B2-PL-44;0,1424%;12,65;7,44;7,44;      11.977,27 € 
B2-TR-45;B2-PL-45;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-46;B2-PL-46;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-47;B2-PL-47;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B2-TR-48;B2-PL-48;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-49;B2-PL-49;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-50;B2-PL-50;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-51;B2-PL-51;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-52;B2-PL-52;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-53;B2-PL-53;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-54;B2-PL-54;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-55;B2-PL-55;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B2-TR-56;B2-PL-56;0,2327%;20,67;12,16;8,00;      12.878,78 € 
B2-TR-57;B2-PL-57;0,1688%;14,99;8,82;8,00;      12.878,78 € 
B3-TR-01;B2-PL-58;0,1076%;9,56;5,62;5,62;        9.047,35 € 
B3-TR-02;B2-PL-59;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-03;B2-PL-60;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-04;B2-PL-61;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-05;B2-PL-62;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-06;B2-PL-63;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-07;B2-PL-64;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-08;B2-PL-65;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-09;B2-PL-66;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-10;B2-PL-67;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B3-TR-11;B2-PL-68;0,1481%;13,15;7,74;7,74;      12.460,22 € 
B3-TR-12;B2-PL-69;0,1338%;11,88;6,99;6,99;      11.252,84 € 
B3-TR-13;B2-PL-70;0,1988%;17,65;10,39;8,00;      12.878,78 € 
B3-TR-14;B2-PL-71;0,1900%;16,87;9,93;8,00;      12.878,78 € 
B3-TR-15;B2-PL-72;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-16;B2-PL-73;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-17;B3-PL-01;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-18;B3-PL-02;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-19;B3-PL-03;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-20;B3-PL-04;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-21;B3-PL-05;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-22;B3-PL-06;0,1560%;13,85;8,15;8,00;      12.878,78 € 
B3-TR-23;B3-PL-07;0,1587%;14,09;8,29;8,00;      12.878,78 € 
B3-TR-24;B3-PL-08;0,1307%;11,61;6,83;6,83;      10.995,26 € 
B3-TR-25;B3-PL-09;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-26;B3-PL-10;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-27;B3-PL-11;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-28;B3-PL-12;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-29;B3-PL-13;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-30;B3-PL-14;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-31;B3-PL-15;0,1361%;12,09;7,11;7,11;      11.446,02 € 
B3-TR-32;B3-PL-16;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-33;B3-PL-17;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-34;B3-PL-18;0,1361%;12,09;7,11;7,11;      11.446,02 € 
B3-TR-35;B3-PL-19;0,1307%;11,61;6,83;6,83;      10.995,26 € 
B3-TR-36;B3-PL-20;0,1361%;12,09;7,11;7,11;      11.446,02 € 
B3-TR-37;B3-PL-21;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-38;B3-PL-22;0,1479%;13,13;7,73;7,73;      12.444,13 € 
B3-TR-39;B3-PL-23;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B3-TR-40;B3-PL-24;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-41;B3-PL-25;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-42;B3-PL-25;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-43;B3-PL-26;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-44;B3-PL-27;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-45;B3-PL-28;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-46;B3-PL-29;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-47;B3-PL-30;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B3-TR-48;B3-PL-31;0,1319%;11,71;6,89;6,89;      11.091,85 € 
B3-TR-49;B3-PL-32;0,1037%;9,21;5,42;5,42;        8.725,38 € 
B3-TR-50;B3-PL-33;0,1221%;10,84;6,38;6,38;      10.270,83 € 
B3-TR-51;B3-PL-34;0,1345%;11,94;7,03;7,03;      11.317,23 € 
B3-TR-52;B3-PL-35;0,1072%;9,52;5,60;5,60;        9.015,15 € 
B3-TR-53;B3-PL-36;0,1508%;13,39;7,88;7,88;      12.685,60 € 
B3-TR-54;B3-PL-37;0,1156%;10,27;6,04;6,04;        9.723,48 € 
B4-TR-01;B3-PL-38;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-02;B3-PL-39;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-03;B3-PL-40;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-04;B3-PL-41;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-05;B3-PL-42;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-06;B3-PL-43;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B4-TR-07;B3-PL-44;0,1393%;12,37;7,28;7,28;      11.719,69 € 
B4-TR-08;B3-PL-45;0,1338%;11,88;6,99;6,99;      11.252,84 € 
B4-TR-09;B3-PL-46;0,1988%;17,65;10,39;8,00;      12.878,78 € 
B4-TR-10;B3-PL-47;0,1424%;12,65;7,44;7,44;      11.977,27 € 
B4-TR-11;B3-PL-48;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-12;B3-PL-49;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B4-TR-13;B3-PL-50;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B4-TR-14;B3-PL-51;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-15;B3-PL-52;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-16;B3-PL-53;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-17;B3-PL-54;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-18;B3-PL-55;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-19;B3-PL-56;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-20;B3-PL-57;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-21;B3-PL-58;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-22;B3-PL-59;0,1409%;12,51;7,36;7,36;      11.848,48 € 
B4-TR-23;B3-PL-60;0,1409%;12,51;7,36;7,36;      11.848,48 € 
B4-TR-24;B3-PL-61;0,1342%;11,92;7,01;7,01;      11.285,03 € 
B4-TR-25;B3-PL-62;0,1606%;14,26;8,39;8,00;      12.878,78 € 
B4-TR-26;B3-PL-63;0,1010%;8,97;5,28;5,28;        8.500,00 € 
B4-TR-27;B3-PL-64;0,1378%;12,24;7,20;7,20;      11.590,91 € 
B4-TR-28;B3-PL-65;0,1479%;13,13;7,73;7,73;      12.444,13 € 
B4-TR-29;B3-PL-66;0,1409%;12,51;7,36;7,36;      11.848,48 € 
B4-TR-30;B3-PL-67;0,1407%;12,50;7,35;7,35;      11.832,38 € 
B4-TR-31;B3-PL-68;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-32;B3-PL-69;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-33;B3-PL-70;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-34;B3-PL-71;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-35;B3-PL-72;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-36;B3-PL-73;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-37;B3-PL-74;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-38;B3-PL-75;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-39;B4-PL-01;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B4-TR-40;B4-PL-02;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B4-TR-41;B4-PL-03;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-42;B4-PL-04;0,1378%;12,24;7,20;7,20;      11.590,91 € 
B4-TR-43;B4-PL-05;0,1424%;12,65;7,44;7,44;      11.977,27 € 
B4-TR-44;B4-PL-06;0,1301%;11,55;6,80;6,80;      10.946,97 € 
B4-TR-45;B4-PL-07;0,1340%;11,90;7,00;7,00;      11.268,94 € 
B4-TR-46;B4-PL-08;0,1386%;12,31;7,24;7,24;      11.655,30 € 
B4-TR-47;B4-PL-09;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-48;B4-PL-10;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-49;B4-PL-11;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B4-TR-50;B4-PL-12;0,1391%;12,35;7,27;7,27;      11.703,59 € 
B4-TR-51;B4-PL-13;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-52;B4-PL-14;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-53;B4-PL-15;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-54;B4-PL-16;0,1334%;11,85;6,97;6,97;      11.220,64 € 
B4-TR-55;B4-PL-17;0,1334%;11,85;6,97;6,97;      11.220,64 € 
